sepallength,petalwidth,sepalwidth,petallength,class
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
5.45 - 6.25,≥ 3.15,< 2.45,< 0.8,Iris-setosa
5.45 - 6.25,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
5.45 - 6.25,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
5.45 - 6.25,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
5.45 - 6.25,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,< 2.85,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,2.85 - 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
< 5.45,≥ 3.15,< 2.45,< 0.8,Iris-setosa
≥ 6.25,≥ 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,≥ 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,≥ 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,≥ 3.15,2.45 - 4.85,≥ 1.55,Iris-versicolor
< 5.45,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
< 5.45,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
< 5.45,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,≥ 3.15,2.45 - 4.85,≥ 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,< 2.85,≥ 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-versicolor
< 5.45,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,≥ 3.15,2.45 - 4.85,≥ 1.55,Iris-versicolor
≥ 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
< 5.45,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
< 5.45,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
5.45 - 6.25,< 2.85,2.45 - 4.85,0.8 - 1.55,Iris-versicolor
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
< 5.45,< 2.85,2.45 - 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,0.8 - 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,2.45 - 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,0.8 - 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,0.8 - 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,2.85 - 3.15,2.45 - 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,< 2.85,≥ 4.85,≥ 1.55,Iris-virginica
≥ 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,≥ 3.15,≥ 4.85,≥ 1.55,Iris-virginica
5.45 - 6.25,2.85 - 3.15,≥ 4.85,≥ 1.55,Iris-virginica
